"","actual class","predicted class","N","median P(diving)"
"Spinosaurus_.11","UNKNOWN","0","0","0.47"
"Spinosaurus_.10","UNKNOWN","0","38","0.495"
"Spinosaurus_.9","UNKNOWN","2","100","0.9"
"Spinosaurus_.8","UNKNOWN","2","100","0.87"
"Spinosaurus_.7","UNKNOWN","2","100","0.83"
"Spinosaurus_.6","UNKNOWN","2","100","0.755"
"Spinosaurus_.5","UNKNOWN","2","100","0.94"
"Spinosaurus_.4","UNKNOWN","2","100","0.89"
"Spinosaurus_.3","UNKNOWN","2","100","0.86"
"Spinosaurus_.2","UNKNOWN","2","100","0.81"
"Spinosaurus_.1","UNKNOWN","2","100","0.74"
"Spinosaurus_","UNKNOWN","2","100","0.93"
"Baryonyx.3","UNKNOWN","2","100","0.71"
"Baryonyx.2","UNKNOWN","2","100","0.82"
"Baryonyx.1","UNKNOWN","2","100","0.89"
"Suchomimus.3","UNKNOWN","0","0","0.38"
"Suchomimus.2","UNKNOWN","2","99","0.51"
"Suchomimus.1","UNKNOWN","0","0","0.37"
"Suchomimus","UNKNOWN","0","10","0.5"
"Baryonyx","UNKNOWN","2","100","0.88"
