"","actual class","predicted class","N","median P(diving)"
"Spinosaurus_.11","UNKNOWN","2","100","0.67"
"Spinosaurus_.10","UNKNOWN","2","100","0.7"
"Spinosaurus_.9","UNKNOWN","2","100","0.99"
"Spinosaurus_.8","UNKNOWN","2","100","0.98"
"Spinosaurus_.7","UNKNOWN","2","100","0.97"
"Spinosaurus_.6","UNKNOWN","2","100","0.95"
"Spinosaurus_.5","UNKNOWN","2","100","0.99"
"Spinosaurus_.4","UNKNOWN","2","100","0.98"
"Spinosaurus_.3","UNKNOWN","2","100","0.97"
"Spinosaurus_.2","UNKNOWN","2","100","0.95"
"Spinosaurus_.1","UNKNOWN","2","100","0.92"
"Spinosaurus_","UNKNOWN","2","100","0.99"
"Baryonyx.3","UNKNOWN","2","100","0.94"
"Baryonyx.2","UNKNOWN","2","100","0.97"
"Baryonyx.1","UNKNOWN","2","100","0.99"
"Suchomimus.3","UNKNOWN","2","100","0.69"
"Suchomimus.2","UNKNOWN","2","100","0.82"
"Suchomimus.1","UNKNOWN","2","100","0.65"
"Suchomimus","UNKNOWN","2","100","0.79"
"Baryonyx","UNKNOWN","2","100","0.98"
