"","actual class","predicted class","N","median P(diving)"
"Spinosaurus_.11","UNKNOWN","0","0","0.37"
"Spinosaurus_.10","UNKNOWN","0","0","0.4"
"Spinosaurus_.9","UNKNOWN","2","100","0.9"
"Spinosaurus_.8","UNKNOWN","2","100","0.86"
"Spinosaurus_.7","UNKNOWN","2","100","0.79"
"Spinosaurus_.6","UNKNOWN","2","100","0.68"
"Spinosaurus_.5","UNKNOWN","2","100","0.94"
"Spinosaurus_.4","UNKNOWN","2","100","0.9"
"Spinosaurus_.3","UNKNOWN","2","100","0.87"
"Spinosaurus_.2","UNKNOWN","2","100","0.8"
"Spinosaurus_.1","UNKNOWN","2","100","0.7"
"Spinosaurus_","UNKNOWN","2","100","0.95"
"Baryonyx.3","UNKNOWN","2","100","0.57"
"Baryonyx.2","UNKNOWN","2","100","0.75"
"Baryonyx.1","UNKNOWN","2","100","0.87"
"Suchomimus.3","UNKNOWN","0","0","0.18"
"Suchomimus.2","UNKNOWN","0","0","0.31"
"Suchomimus.1","UNKNOWN","0","0","0.19"
"Suchomimus","UNKNOWN","0","0","0.32"
"Baryonyx","UNKNOWN","2","100","0.86"
