"","[1,1]","[1,2]","[2,1]","[2,2]"
"1",38,6,19,53
"2",38,6,19,53
"3",38,6,19,53
"4",38,6,19,53
"5",38,6,19,53
"6",38,6,19,53
"7",38,6,19,53
"8",38,6,19,53
"9",38,6,19,53
"10",38,6,19,53
"11",38,6,19,53
"12",38,6,19,53
"13",38,6,19,53
"14",38,6,19,53
"15",38,6,19,53
"16",38,6,19,53
"17",38,6,19,53
"18",38,6,19,53
"19",38,6,19,53
"20",38,6,19,53
"21",38,6,19,53
"22",38,6,19,53
"23",38,6,19,53
"24",38,6,19,53
"25",38,6,19,53
"26",38,6,19,53
"27",38,6,19,53
"28",38,6,19,53
"29",38,6,19,53
"30",38,6,19,53
"31",38,6,19,53
"32",38,6,19,53
"33",38,6,19,53
"34",38,6,19,53
"35",38,6,19,53
"36",38,6,19,53
"37",38,6,19,53
"38",38,6,19,53
"39",38,6,19,53
"40",38,6,19,53
"41",38,6,19,53
"42",38,6,19,53
"43",38,6,19,53
"44",38,6,19,53
"45",38,6,19,53
"46",38,6,19,53
"47",38,6,19,53
"48",38,6,19,53
"49",38,6,19,53
"50",38,6,19,53
"51",38,6,19,53
"52",38,6,19,53
"53",38,6,19,53
"54",38,6,19,53
"55",38,6,19,53
"56",38,6,19,53
"57",38,6,19,53
"58",38,6,19,53
"59",38,6,19,53
"60",38,6,19,53
"61",38,6,19,53
"62",38,6,19,53
"63",38,6,19,53
"64",38,6,19,53
"65",38,6,19,53
"66",38,6,19,53
"67",38,6,19,53
"68",38,6,19,53
"69",38,6,19,53
"70",38,6,19,53
"71",38,6,19,53
"72",38,6,19,53
"73",38,6,19,53
"74",38,6,19,53
"75",38,6,19,53
"76",38,6,19,53
"77",38,6,19,53
"78",38,6,19,53
"79",38,6,19,53
"80",38,6,19,53
"81",38,6,19,53
"82",38,6,19,53
"83",38,6,19,53
"84",38,6,19,53
"85",38,6,19,53
"86",38,6,19,53
"87",38,6,19,53
"88",38,6,19,53
"89",38,6,19,53
"90",38,6,19,53
"91",38,6,19,53
"92",38,6,19,53
"93",38,6,19,53
"94",38,6,19,53
"95",38,6,19,53
"96",38,6,19,53
"97",38,6,19,53
"98",38,6,19,53
"99",38,6,19,53
"100",38,6,19,53
