"","actual class","predicted class","N","median P(diving)"
"Spinosaurus_.11","UNKNOWN","0","0","0.4"
"Spinosaurus_.10","UNKNOWN","0","0","0.43"
"Spinosaurus_.9","UNKNOWN","2","100","0.86"
"Spinosaurus_.8","UNKNOWN","2","100","0.82"
"Spinosaurus_.7","UNKNOWN","2","100","0.76"
"Spinosaurus_.6","UNKNOWN","2","100","0.68"
"Spinosaurus_.5","UNKNOWN","2","100","0.91"
"Spinosaurus_.4","UNKNOWN","2","100","0.85"
"Spinosaurus_.3","UNKNOWN","2","100","0.82"
"Spinosaurus_.2","UNKNOWN","2","100","0.76"
"Spinosaurus_.1","UNKNOWN","2","100","0.67"
"Spinosaurus_","UNKNOWN","2","100","0.91"
"Baryonyx.3","UNKNOWN","2","100","0.61"
"Baryonyx.2","UNKNOWN","2","100","0.74"
"Baryonyx.1","UNKNOWN","2","100","0.84"
"Suchomimus.3","UNKNOWN","0","0","0.29"
"Suchomimus.2","UNKNOWN","0","0","0.41"
"Suchomimus.1","UNKNOWN","0","0","0.29"
"Suchomimus","UNKNOWN","0","0","0.4"
"Baryonyx","UNKNOWN","2","100","0.83"
