"","actual class","predicted class","N","median P(diving)"
"Spinosaurus_.11","UNKNOWN","0","0","0.43"
"Spinosaurus_.10","UNKNOWN","0","0","0.46"
"Spinosaurus_.9","UNKNOWN","2","100","0.93"
"Spinosaurus_.8","UNKNOWN","2","100","0.91"
"Spinosaurus_.7","UNKNOWN","2","100","0.86"
"Spinosaurus_.6","UNKNOWN","2","100","0.79"
"Spinosaurus_.5","UNKNOWN","2","100","0.96"
"Spinosaurus_.4","UNKNOWN","2","100","0.92"
"Spinosaurus_.3","UNKNOWN","2","100","0.89"
"Spinosaurus_.2","UNKNOWN","2","100","0.84"
"Spinosaurus_.1","UNKNOWN","2","100","0.76"
"Spinosaurus_","UNKNOWN","2","100","0.95"
"Baryonyx.3","UNKNOWN","2","100","0.74"
"Baryonyx.2","UNKNOWN","2","100","0.86"
"Baryonyx.1","UNKNOWN","2","100","0.93"
"Suchomimus.3","UNKNOWN","0","0","0.34"
"Suchomimus.2","UNKNOWN","0","30","0.5"
"Suchomimus.1","UNKNOWN","0","0","0.33"
"Suchomimus","UNKNOWN","0","0","0.48"
"Baryonyx","UNKNOWN","2","100","0.92"
