"","actual class","predicted class","N","median P(diving)"
"Spinosaurus_.11","UNKNOWN","2","100","0.53"
"Spinosaurus_.10","UNKNOWN","2","100","0.58"
"Spinosaurus_.9","UNKNOWN","2","100","0.99"
"Spinosaurus_.8","UNKNOWN","2","100","0.99"
"Spinosaurus_.7","UNKNOWN","2","100","0.97"
"Spinosaurus_.6","UNKNOWN","2","100","0.94"
"Spinosaurus_.5","UNKNOWN","2","100","1"
"Spinosaurus_.4","UNKNOWN","2","100","0.99"
"Spinosaurus_.3","UNKNOWN","2","100","0.98"
"Spinosaurus_.2","UNKNOWN","2","100","0.97"
"Spinosaurus_.1","UNKNOWN","2","100","0.92"
"Spinosaurus_","UNKNOWN","2","100","1"
"Baryonyx.3","UNKNOWN","2","100","0.92"
"Baryonyx.2","UNKNOWN","2","100","0.97"
"Baryonyx.1","UNKNOWN","2","100","0.99"
"Suchomimus.3","UNKNOWN","0","0","0.41"
"Suchomimus.2","UNKNOWN","2","100","0.66"
"Suchomimus.1","UNKNOWN","0","0","0.38"
"Suchomimus","UNKNOWN","2","100","0.63"
"Baryonyx","UNKNOWN","2","100","0.99"
