"","actual class","predicted class","N","median P(diving)"
"Spinosaurus_.11","UNKNOWN","0","0","0.31"
"Spinosaurus_.10","UNKNOWN","0","0","0.34"
"Spinosaurus_.9","UNKNOWN","2","100","0.88"
"Spinosaurus_.8","UNKNOWN","2","100","0.84"
"Spinosaurus_.7","UNKNOWN","2","100","0.76"
"Spinosaurus_.6","UNKNOWN","2","100","0.65"
"Spinosaurus_.5","UNKNOWN","2","100","0.93"
"Spinosaurus_.4","UNKNOWN","2","100","0.88"
"Spinosaurus_.3","UNKNOWN","2","100","0.84"
"Spinosaurus_.2","UNKNOWN","2","100","0.77"
"Spinosaurus_.1","UNKNOWN","2","100","0.655"
"Spinosaurus_","UNKNOWN","2","100","0.93"
"Baryonyx.3","UNKNOWN","2","100","0.55"
"Baryonyx.2","UNKNOWN","2","100","0.73"
"Baryonyx.1","UNKNOWN","2","100","0.86"
"Suchomimus.3","UNKNOWN","0","0","0.17"
"Suchomimus.2","UNKNOWN","0","0","0.29"
"Suchomimus.1","UNKNOWN","0","0","0.17"
"Suchomimus","UNKNOWN","0","0","0.29"
"Baryonyx","UNKNOWN","2","100","0.84"
