"","actual class","predicted class","N","median P(diving)"
"Spinosaurus_.11","UNKNOWN","0","0","0.435"
"Spinosaurus_.10","UNKNOWN","0","0","0.47"
"Spinosaurus_.9","UNKNOWN","2","100","0.95"
"Spinosaurus_.8","UNKNOWN","2","100","0.93"
"Spinosaurus_.7","UNKNOWN","2","100","0.9"
"Spinosaurus_.6","UNKNOWN","2","100","0.83"
"Spinosaurus_.5","UNKNOWN","2","100","0.98"
"Spinosaurus_.4","UNKNOWN","2","100","0.94"
"Spinosaurus_.3","UNKNOWN","2","100","0.92"
"Spinosaurus_.2","UNKNOWN","2","100","0.88"
"Spinosaurus_.1","UNKNOWN","2","100","0.8"
"Spinosaurus_","UNKNOWN","2","100","0.97"
"Baryonyx.3","UNKNOWN","2","100","0.77"
"Baryonyx.2","UNKNOWN","2","100","0.89"
"Baryonyx.1","UNKNOWN","2","100","0.95"
"Suchomimus.3","UNKNOWN","0","0","0.33"
"Suchomimus.2","UNKNOWN","0","63","0.5"
"Suchomimus.1","UNKNOWN","0","0","0.31"
"Suchomimus","UNKNOWN","0","0","0.48"
"Baryonyx","UNKNOWN","2","100","0.94"
