"","actual class","predicted class","N","median P(diving)"
"Spinosaurus_.11","UNKNOWN","0","0","0.45"
"Spinosaurus_.10","UNKNOWN","0","3","0.48"
"Spinosaurus_.9","UNKNOWN","2","100","0.95"
"Spinosaurus_.8","UNKNOWN","2","100","0.93"
"Spinosaurus_.7","UNKNOWN","2","100","0.89"
"Spinosaurus_.6","UNKNOWN","2","100","0.83"
"Spinosaurus_.5","UNKNOWN","2","100","0.97"
"Spinosaurus_.4","UNKNOWN","2","100","0.94"
"Spinosaurus_.3","UNKNOWN","2","100","0.92"
"Spinosaurus_.2","UNKNOWN","2","100","0.88"
"Spinosaurus_.1","UNKNOWN","2","100","0.8"
"Spinosaurus_","UNKNOWN","2","100","0.97"
"Baryonyx.3","UNKNOWN","2","100","0.78"
"Baryonyx.2","UNKNOWN","2","100","0.89"
"Baryonyx.1","UNKNOWN","2","100","0.95"
"Suchomimus.3","UNKNOWN","0","0","0.35"
"Suchomimus.2","UNKNOWN","2","100","0.52"
"Suchomimus.1","UNKNOWN","0","0","0.34"
"Suchomimus","UNKNOWN","0","97","0.5"
"Baryonyx","UNKNOWN","2","100","0.94"
