"","actual class","predicted class","N","median P(diving)"
"Serpianosaurus","2","2","100","1"
"Spinosaurus_.11",NA,"0","0","0.46"
"Spinosaurus_.10",NA,"0","42","0.5"
"Spinosaurus_.9",NA,"2","100","0.96"
"Spinosaurus_.8",NA,"2","100","0.94"
"Spinosaurus_.7",NA,"2","100","0.9"
"Spinosaurus_.6",NA,"2","100","0.83"
"Spinosaurus_.5",NA,"2","100","0.98"
"Spinosaurus_.4",NA,"2","100","0.95"
"Spinosaurus_.3",NA,"2","100","0.93"
"Spinosaurus_.2",NA,"2","100","0.89"
"Spinosaurus_.1",NA,"2","100","0.82"
"Spinosaurus_",NA,"2","100","0.98"
"Baryonyx.3",NA,"2","100","0.77"
"Baryonyx.2",NA,"2","100","0.89"
"Baryonyx.1",NA,"2","100","0.95"
"Suchomimus.3",NA,"0","0","0.315"
"Suchomimus.2",NA,"0","2","0.49"
"Suchomimus.1",NA,"0","0","0.31"
"Suchomimus",NA,"0","0","0.48"
"Baryonyx",NA,"2","100","0.94"
