"","actual class","predicted class","N","median P(diving)"
"Spinosaurus_.11","UNKNOWN","0","0","0.42"
"Spinosaurus_.10","UNKNOWN","0","0","0.44"
"Spinosaurus_.9","UNKNOWN","2","100","0.87"
"Spinosaurus_.8","UNKNOWN","2","100","0.84"
"Spinosaurus_.7","UNKNOWN","2","100","0.78"
"Spinosaurus_.6","UNKNOWN","2","100","0.69"
"Spinosaurus_.5","UNKNOWN","2","100","0.92"
"Spinosaurus_.4","UNKNOWN","2","100","0.87"
"Spinosaurus_.3","UNKNOWN","2","100","0.84"
"Spinosaurus_.2","UNKNOWN","2","100","0.77"
"Spinosaurus_.1","UNKNOWN","2","100","0.69"
"Spinosaurus_","UNKNOWN","2","100","0.92"
"Baryonyx.3","UNKNOWN","2","100","0.62"
"Baryonyx.2","UNKNOWN","2","100","0.76"
"Baryonyx.1","UNKNOWN","2","100","0.86"
"Suchomimus.3","UNKNOWN","0","0","0.29"
"Suchomimus.2","UNKNOWN","0","0","0.41"
"Suchomimus.1","UNKNOWN","0","0","0.29"
"Suchomimus","UNKNOWN","0","0","0.41"
"Baryonyx","UNKNOWN","2","100","0.84"
